text,emotion,cleaned_text,text_length
i want to feel like i m important,joy,want feel like important,4
im feeling optimistic about this third year confident for the first time in my abilities as a business owner and teacher,joy,feeling optimistic third year confident first time ability business owner teacher,11
ive waited my whole life to feel this blessed now im comparing the dream to the way it is and everybodys looking there very best remembering times when they were just like this my imagination never felt so clear so no i know this is for real,love,ive waited whole life feel blessed comparing dream way everybodys looking best remembering time like imagination never felt clear know real,21
i feel he is talented and good,joy,feel talented good,3
i feel that i have tons of love to give and i would love to give my loyal support to that person as well,love,feel ton love give would love give loyal support person well,11
i am back working with confidence and feeling terrific,joy,back working confidence feeling terrific,5
i dont think my depression that i have been feeling is going to go away over night but i do think that if i start trusting god more and praying more he will help me to see that i am not alone,joy,dont think depression feeling going away night think start trusting god praying help see alone,15
i feel called to do and delighted in doing,joy,feel called delighted,3
im not sure if all my stuff with andy as in me feeling annoyed at him was just my messed up chemicals,anger,sure stuff andy feeling annoyed messed chemical,7
im not feeling well lets just enjoy some pictures taken from the field trip,joy,feeling well let enjoy picture taken field trip,8
i want people to have the same feeling of delighted shock i had when i saw it,joy,want people feeling delighted shock saw,6
i was over tired and feeling irritable as a result,anger,tired feeling irritable result,4
i also feel its a transition piece for me still sweet and classy adding that touch to my more goth punk rebellious style im falling into lately,joy,also feel transition piece still sweet classy adding touch goth punk rebellious style falling lately,15
i am hating myself at the moment because i feel so hateful to another person,anger,hating moment feel hateful another person,6
i feel pretty content rel bookmark i feel pretty content a href http getyourprettyon,joy,feel pretty content rel bookmark feel pretty content href http getyourprettyon,11
i feel like im talented enough to really deliver the line and make the listener hear the,joy,feel like talented enough really deliver line make listener hear,10
ive been saying things for a number of days that i feel may be too optimistic,joy,ive saying thing number day feel may optimistic,8
i get a good feeling i get a feeling that i never never had before i thought it was so clever sticking a needle in my arm to that song,joy,get good feeling get feeling never never thought clever sticking needle arm song,13
i think that even just understanding that there s that history behind it it lends to the explanation of where it s being projected from so it s kind of important to some degree and i never feel offended by people questioning that,anger,think even understanding history behind lends explanation projected kind important degree never feel offended people questioning,16
i especially feel this way because someone who i thought was my friend rejected me and joined the clique,sadness,especially feel way someone thought friend rejected joined clique,9
i doubt anyone is if they are entirely honest with themselves and thats ok because for now i may not feel perfect but i do feel happy and thats one hell of an improvement,joy,doubt anyone entirely honest thats may feel perfect feel happy thats one hell improvement,14
i am feeling out of balance or troubled about something i have a few guiding principles that i consider choose the highest priority,sadness,feeling balance troubled something guiding principle consider choose highest priority,10
im feeling very defeated negative and what is the point of it all today,sadness,feeling defeated negative point today,5
i wasnt feeling energetic,joy,wasnt feeling energetic,3
i feel like i m on an emotional high with so much excitment,sadness,feel like emotional high much excitment,6
i feel like theres so much going on but nothings being resolved nor is revenge even happening,joy,feel like there much going nothing resolved revenge even happening,10
i feel a little lethargic recount it here a href http en,sadness,feel little lethargic recount href http,6
i left the place feeling slightly shaken it s hard to read and hear about such things,fear,left place feeling slightly shaken hard read hear thing,9
i feel that president obama is really trying to make america suck less but i really dont know enough about politics and government to say he is actually doing things thatll be productive,joy,feel president obama really trying make america suck less really dont know enough politics government say actually thing thatll productive,20
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,fear,feel weird feel like wan curse everything bang head onto wall world back focus,14
i do not give flowers all the time as i feel that makes me a wuss and needy,sadness,give flower time feel make wuss needy,7
ive been feeling a little stressed and overwhelmed,sadness,ive feeling little stressed overwhelmed,5
i feel nervous for our hyenas,fear,feel nervous hyena,3
im feeling amazing because im answering these questions from new york so life is good,surprise,feeling amazing answering question new york life good,8
heated discussion with spouse concerning new house,anger,heated discussion spouse concerning new house,6
i feel as if i am on hold somehow that ive been given a time for contemplation consolidation and it is a most curious feeling,surprise,feel hold somehow ive given time contemplation consolidation curious feeling,10
i can easily wind up feeling inadequate as i look at all of the beautiful pictures and see what it seems like everyone else is doing and thinking,sadness,easily wind feeling inadequate look beautiful picture see seems like everyone else thinking,13
i feel sometimes more joyful after i have read scriptures or prayed after i have done those things than while i am doing those things,joy,feel sometimes joyful read scripture prayed done thing thing,9
i feel frustrated lonely or am having a hard time i think of elf and regain my strength lets spend together you guys and the other member for sure,anger,feel frustrated lonely hard time think elf regain strength let spend together guy member sure,15
i look flaky or streaky please feel free to tell me,joy,look flaky streaky please feel free tell,7
i feel dazed and unsure of a world in which dying young and disasters that sacrifice so many lives in one swath happen let alone happen with frequency great enough to make me cringe,surprise,feel dazed unsure world dying young disaster sacrifice many life one swath happen let alone happen frequency great enough make cringe,21
i feel everything intensely and emotional and physical distress is a daily part of living with the disability,sadness,feel everything intensely emotional physical distress daily part living disability,10
when a boy tried to fool me so he would be ok trying to show me that he is a gook boy,anger,boy tried fool would trying show gook boy,8
i was feeling a bit jaded combination of mixed up feelings not enough sleep and too many big screen presentations i think,sadness,feeling bit jaded combination mixed feeling enough sleep many big screen presentation think,13
i feel like i am caring less about getting things done than actually relishing in the experience of doing and learning mathematics of course i probably will be working on things last minute but i wont let the pressure get to me,love,feel like caring less getting thing done actually relishing experience learning mathematics course probably working thing last minute wont let pressure get,22
i was feeling especially disillusioned and unhappy allowing the last lines to make the most difference but most this is especially telling of how much my life has changed since i was fourteen how my experiences have altered my perceptions,sadness,feeling especially disillusioned unhappy allowing last line make difference especially telling much life changed since fourteen experience altered perception,19
i hate my job and feel so miserable by it i try and focus on how i can solve the situation,sadness,hate job feel miserable try focus solve situation,8
i feel as though i am living the world of opposites where a long cold winter is a sign of global warming free speech is only free as long as it is practiced in the echo chamber of political correctness and the u,anger,feel though living world opposite long cold winter sign global warming free speech free long practiced echo chamber political correctness,20
i wish i could feel that more because i always lose sight of it but just remembering that is something amazing,joy,wish could feel always lose sight remembering something amazing,9
i hate feeling stupid and incompetent,sadness,hate feeling stupid incompetent,4
i feel less groggy my trousers were a little looser and truthfully i would rather reach out for a fruit salad then a fully packed sandwich which is going to leave me feeling uncomfortable for the rest of the day,sadness,feel less groggy trouser little looser truthfully would rather reach fruit salad fully packed sandwich going leave feeling uncomfortable rest day,21
i feel so rotten that i need to tell myself all this is just a passing cloud that ill be laughing at years from now,sadness,feel rotten need tell passing cloud ill laughing year,9
i was bitten by a dog,fear,bitten dog,2
i have begun to feel irrationally resentful and angry towards people,anger,begun feel irrationally resentful angry towards people,7
i said i have such mixed feelings about because on the one hand im glad benny survived but on the other hand its just preposterous,joy,said mixed feeling one hand glad benny survived hand preposterous,10
i stood kind of dumbfounded looking around feeling culture shocked,surprise,stood kind dumbfounded looking around feeling culture shocked,8
i could buy i just want to see if i could recreate a recipe in order to feel superior and pretentious just kidding,joy,could buy want see could recreate recipe order feel superior pretentious kidding,12
i feel an urgency to introduce readers to the amazing and touching story of anna iya and erik,surprise,feel urgency introduce reader amazing touching story anna iya erik,10
i got outside but all the drugs i took didnt exactly make me feel sociable at all,joy,got outside drug took didnt exactly make feel sociable,9
i feel twitchy and physically agitated,anger,feel twitchy physically agitated,4
i feel when i recall fond memories of trips spending time with family,love,feel recall fond memory trip spending time family,8
i feel disheartened or defeated,sadness,feel disheartened defeated,3
i do when i m feeling not too grouchy,anger,feeling grouchy,2
i compare your beauty i feel unsure where to begin to angels or nature or what,fear,compare beauty feel unsure begin angel nature,7
i completely understand that they couldnt have an actual fireplace but seeing it just painted on ruined the feel of the well done set,joy,completely understand couldnt actual fireplace seeing painted ruined feel well done set,12
i feel that i have got my looks and sweet nature from my mom,love,feel got look sweet nature mom,6
i wish that there were some way i could numb myself when i need it but i either feel everything or go completely numb,sadness,wish way could numb need either feel everything completely numb,10
i feel very rich today,joy,feel rich today,3
im feeling today i was successful,joy,feeling today successful,3
i feel pleasant although im not keen on the hour shift i have ahead of me,joy,feel pleasant although keen hour shift ahead,7
i was buying clothes that made me feel uncomfterble just so i was accepted,joy,buying clothes made feel uncomfterble accepted,6
i can t relax my heart skips a beat now and then i feel other people s emotions i get irritated when i am pacing around not knowing what i need to do to feel better,anger,relax heart skip beat feel people emotion get irritated pacing around knowing need feel better,15
i feel distanced from her and ever so unimportant shh but bah,sadness,feel distanced ever unimportant shh bah,6
i just feel so annoyed with the way our economic job market is set up,anger,feel annoyed way economic job market set,7
i sat on the plane home feeling more positive and certain about what i want to do than i have in a long time,joy,sat plane home feeling positive certain want long time,9
i feel positive and focus on the running rather than the photos,joy,feel positive focus running rather photo,6
i feel i am too stubborn and resistant for therapy,anger,feel stubborn resistant therapy,4
i am the only bright spot he has now i feel as if i have been burdened with more than i initially thought,sadness,bright spot feel burdened initially thought,6
i feel it would be too messy,sadness,feel would messy,3
i woke up feeling grouchy and irritable didn t feel settled all day had to remove myself from the patio when the small read his school book and ended up storming out of my own house after discovering he still doesn t flush the toilet,anger,woke feeling grouchy irritable feel settled day remove patio small read school book ended storming house discovering still flush toilet,20
i feel most of the time i think i look pretty cute,joy,feel time think look pretty cute,6
i have no ties to make me feel unhappy about leaving home except i will miss jim foster a lot,sadness,tie make feel unhappy leaving home except miss jim foster lot,11
i feel kinda violent today,anger,feel kinda violent today,4
i feel morally outraged and furious more often than i d like,anger,feel morally outraged furious often like,6
i like you and im feeling generous,joy,like feeling generous,3
i feel humiliated by my ignorance and lack of ability to accommodate the other,sadness,feel humiliated ignorance lack ability accommodate,6
ill crawl into the kitchen feeling miserable and cook a fresh healthy meal,sadness,ill crawl kitchen feeling miserable cook fresh healthy meal,9
i feel a bit ungrateful that i feel like leaving already once i get everything taken care of laundry packing some winter clothes etc,sadness,feel bit ungrateful feel like leaving already get everything taken care laundry packing winter clothes etc,16
i feel so respected and seen,joy,feel respected seen,3
i was a child this song makes me smile because i was brought up the mediterranean because you only love the sea when you feel it in your bones when it makes you frightened and when it surprise you every day somehow so many ways,fear,child song make smile brought mediterranean love sea feel bone make frightened surprise every day somehow many way,18
i feel like i should be hated and that everything that has happened to me is what i deserve,anger,feel like hated everything happened deserve,6
i feel quite disappointed in myself for being sucked into the charade,sadness,feel quite disappointed sucked charade,5
i was feeling very generous wild and crazy and we went through the drive through at steak and shake,love,feeling generous wild crazy went drive steak shake,8
i feel about the people or being accepted by them,joy,feel people accepted,3
i feel somewhat surprised when reading george hobica s discussion on usa today,surprise,feel somewhat surprised reading george hobica discussion usa today,9
i knew i wanted frosting to decorate the cookies and write a message but was thinking of the cream type frosting which uses butter or shortening and feeling a little hesitant about adding all that fat trans fat no less,fear,knew wanted frosting decorate cooky write message thinking cream type frosting us butter shortening feeling little hesitant adding fat trans fat less,22
i feel uglier and more strange deformed and awkward looking than i had already felt,fear,feel uglier strange deformed awkward looking already felt,8
im a rather confident person i understand that a lot of times they just cant help it but feel lousy about themselves,sadness,rather confident person understand lot time cant help feel lousy,10
i just have a feeling it will be pretty in this lovely yarn and im stash busting as well which is a bonus,love,feeling pretty lovely yarn stash busting well bonus,8
i feel in this moment as i look back on my splendid weekend,joy,feel moment look back splendid weekend,6
i dont have enought time and i get tired of being made to feel unimportant,sadness,dont enought time get tired made feel unimportant,8
i know what god has said about stuff and yet right now i am beginning to feel anxious about it,fear,know god said stuff yet right beginning feel anxious,9
i make an effort to ask jason s friends questions and include them in the conversation and it makes me feel like a considerate person a feeling i don t get often,love,make effort ask jason friend question include conversation make feel like considerate person feeling get often,16
i feel so clever recent comments a href http www,joy,feel clever recent comment href http www,7
im pretty sure of is this feeling inside me of being terrified,fear,pretty sure feeling inside terrified,5
i feel like supporting a yorkshire team you never know they could be the surprise packet of the round ha ha ha,joy,feel like supporting yorkshire team never know could surprise packet round,11
i cant believe with that statement being said that im already feeling sexually deprived,sadness,cant believe statement said already feeling sexually deprived,8
i can t help myself from feeling a bit apprehensive in the meantime,fear,help feeling bit apprehensive meantime,5
i feel the jersey could be a bit more adventurous but i wont let that take anything away from this jersey,joy,feel jersey could bit adventurous wont let take anything away jersey,11
i do know how i feel but id like to hear an intelligent explanation to then see where i stand,joy,know feel like hear intelligent explanation see stand,8
i was to worried about them knowing if i was high or not and feeling a little paranoid and i have never never been that type of person that would think and care about what people think about me and would always focus on what i had to do to get to where i needed to get in life,fear,worried knowing high feeling little paranoid never never type person would think care people think would always focus get needed get life,22
i feel like the most innocent statements can be twisted into something sinister and inaccurate,joy,feel like innocent statement twisted something sinister inaccurate,8
i feel no compulsion to bludgeon onlookers with how fabulous i want them to think i am because of the designer labels i was able to acquire,joy,feel compulsion bludgeon onlooker fabulous want think designer label able acquire,11
i feel thrilled that i actually got to see this marvelous home,joy,feel thrilled actually got see marvelous home,7
i remember driving home and arriving home feeling very mournful,sadness,remember driving home arriving home feeling mournful,7
i currently am feeling rotten with some sort of illness not exactly what i had hoped for in my small amount of time back home but hey ho,sadness,currently feeling rotten sort illness exactly hoped small amount time back home hey,13
im feeling quite disillusioned about my weighins,sadness,feeling quite disillusioned weighins,4
i feel that this kind of website would be amazing for learning purposes in which it already does provide the viewer with knowledge regarding the history of paris,joy,feel kind website would amazing learning purpose already provide viewer knowledge regarding history paris,14
i dont know why i feel so unsure aout things and especially people,fear,dont know feel unsure aout thing especially people,8
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress,anger,know signifies feeling dangerous secure relaxed guess causing undue stress,10
i not feel like going shopping afterward i was groggy and felt like a stuffed pig,sadness,feel like going shopping afterward groggy felt like stuffed pig,10
i always feel slightly embarrassed,sadness,always feel slightly embarrassed,4
i feel a longing for i have no idea what if it was ever even there,love,feel longing idea ever even,5
i still feel defeated,sadness,still feel defeated,3
i feel a remembrance of the strange by justin aryiku falls into the latter category,surprise,feel remembrance strange justin aryiku fall latter category,8
i start an aimless internet search when im feeling curious,surprise,start aimless internet search feeling curious,6
i thought that was the end of it but a few minutes ago i got off the couch and felt so hot and sore and soft yknow when you have a fever how your body just feels really tender,love,thought end minute ago got couch felt hot sore soft yknow fever body feel really tender,16
i was feeling more appreciative,joy,feeling appreciative,2
i was so stubborn and that it took you getting hurt for me to admit even to myself how i feel i haven t been very considerate of you in that respect,love,stubborn took getting hurt admit even feel considerate respect,9
i have never really had luck with them so im feeling a bit jaded,sadness,never really luck feeling bit jaded,6
i feel so guilty,sadness,feel guilty,2
i feel like i should be more bothered by this topic but for some reason im sor,anger,feel like bothered topic reason sor,6
i was back at the gym doubling up on classes and feeling quite well not perfect but nowhere near how i was earlier in the year,joy,back gym doubling class feeling quite well perfect nowhere near earlier year,12
i feel the word rich is accurate to describe texture and color payoff,joy,feel word rich accurate describe texture color payoff,8
i am not going to wake up with a fucking headache like almost every day this week i am not going to feel needy and grabby and insecure like almost every day this week i am not going to be mean to myself like almost every day this week,sadness,going wake fucking headache like almost every day week going feel needy grabby insecure like almost every day week going mean like almost every day week,26
i feel so strange sitting here blogging away amp not having to study,fear,feel strange sitting blogging away amp study,7
im feeling generous i might let them bring the dog with em otherwise the animals are on their own,joy,feeling generous might let bring dog otherwise animal,8
i really feel regretful when hearing that shinae got married to another man oh it s really sad i really hope that alex and shinae can be a couple in real life they re perfect for each other,sadness,really feel regretful hearing shinae got married another man really sad really hope alex shinae couple real life perfect,19
i and fans cheering for penn state made me feel such a strong sense of belonging to the penn state family,joy,fan cheering penn state made feel strong sense belonging penn state family,12
i feel dismayed at how many people get stuck on a do it yourself salvation mentality,sadness,feel dismayed many people get stuck salvation mentality,8
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,fear,cinema sister boyfriend man sitting beside started stroke leg,9
i feel myself redden my manhood has been insulted and it demands satisfaction,anger,feel redden manhood insulted demand satisfaction,6
i know i can do it and in fact that i will but i feel terrified that the stories won t be as good as they could be and that any readers that i can actually convince to buy the book will read it and hate it and never want to read anything by me again,fear,know fact feel terrified story good could reader actually convince buy book read hate never want read anything,18
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear,feeling pretty paranoid trying cover cash protect belonging definitely felt like something shouldnt like money laundering something,17
i feel so thrilled to share with my fans because lots of my songs are inspiring,joy,feel thrilled share fan lot song inspiring,7
i feel disappointed because i spent time on it and do something differently to create an interesting composition,sadness,feel disappointed spent time something differently create interesting composition,9
i feel quite lucky to have stumbled upon it,joy,feel quite lucky stumbled upon,5
i feel so angry that cancer is slowly killing my dad,anger,feel angry cancer slowly killing dad,6
i hope mine goes well again because at the moment i m unfortunately feeling a bit resentful with the aftermath of the holidays,anger,hope mine go well moment unfortunately feeling bit resentful aftermath holiday,11
i feel more determined than ever to not just help people facing these challenges but do my part to change the infrastructure of our society as a whole so this cycle of inequality is put to an end,joy,feel determined ever help people facing challenge part change infrastructure society whole cycle inequality put end,16
i feel creatively inspired,joy,feel creatively inspired,3
i will soon start to feel like me again i liked her and i miss her,love,soon start feel like liked miss,6
i am strong because i am weak knowing this about yourself would surely improve yourself as a person its something id like to know about myself and everyone else and feel it would be worthwhile in pursuing,joy,strong weak knowing would surely improve person something like know everyone else feel would worthwhile pursuing,16
i feel super good,joy,feel super good,3
i inspired but i came away feeling rejuvenated and invigorated,joy,inspired came away feeling rejuvenated invigorated,6
i still feel very emo but its now a bouncy butterflies in my tummy everythings gonna be ok kinda email rather than a feeling shitty emo so,joy,still feel emo bouncy butterfly tummy everythings gon kinda email rather feeling shitty emo,14
in a dam lake,fear,dam lake,2
id fancy or feel particularly delicious about either,joy,fancy feel particularly delicious either,5
i feel so dirty,sadness,feel dirty,2
i feel regretful ashamed and embarrased of evey single thing ive ever done i cant think of anything im proud of,sadness,feel regretful ashamed embarrased evey single thing ive ever done cant think anything proud,14
im feeling jolly but at the same time im feeling down nao,joy,feeling jolly time feeling nao,5
i feel more confident and have to think less about what i say on the days i avoid english and read french grammar in the morning,joy,feel confident think less say day avoid english read french grammar morning,12
i feel fond toward though they may not realize it,love,feel fond toward though may realize,6
i feel more self assured with making the decision to move to la and try to get to the point where i am directing films,joy,feel self assured making decision move try get point directing film,11
i feel a loss for the precious lives that were taken so mercilessly an abominable side effect of what happens when those among us hate,joy,feel loss precious life taken mercilessly abominable side effect happens among hate,12
i need to learn to have to feel this much pain and suffering,sadness,need learn feel much pain suffering,6
i remember feeling impatient with her and even struggling to like her at times,anger,remember feeling impatient even struggling like time,7
i will stop and consider where my meal has come from not just some of the time when i m feeling virtuous but every time i sit down to eat,joy,stop consider meal come time feeling virtuous every time sit eat,11
i feel i ve had years of being told i m intelligent,joy,feel year told intelligent,4
i woke up this morning to a text from mr c declaring he was walking to work as he typed miles and was therefore feeling virtuous,joy,woke morning text declaring walking work typed mile therefore feeling virtuous,11
i climbed over that day and awful hump and i feel fabulous,joy,climbed day awful hump feel fabulous,6
i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure,joy,continued feel way next couple week convinced take pregnancy test sure,11
i am going to be happy today i am going to enjoy feeling excited about life joyful eager knowing and empowered,joy,going happy today going enjoy feeling excited life joyful eager knowing empowered,12
i feel in retrospect if i have the ability to think back that all this history stuff and the miles upon miles of newsprint that has carried my feature articles impressed and impacted the readership the way it was intended,surprise,feel retrospect ability think back history stuff mile upon mile newsprint carried feature article impressed impacted readership way intended,19
i am used to being let down and feeling rejected by guys,sadness,used let feeling rejected guy,5
i feel so blessed and grateful that i could let go of something so painful on one hand and open myself up to something even more amazing on the other,joy,feel blessed grateful could let something painful one hand open something even amazing,13
i remember what this feels like from a fan perspective because i lived in chicago all through the michael jordan chicago bulls era and i still have fond memories of those days but today belongs to the celtics and i tip my cap to them,love,remember feel like fan perspective lived chicago michael jordan chicago bull era still fond memory day today belongs celtic tip cap,21
i am happy to see that he is off with hopefully a good job but i can t help feel a little greedy,anger,happy see hopefully good job help feel little greedy,9
i feel joyful inside,joy,feel joyful inside,3
i feel the pull of gravity the temperature of the sun and the air i smell the earth and the air and feel the pleasant tug at my muscles,joy,feel pull gravity temperature sun air smell earth air feel pleasant tug muscle,13
i love the way it feels i love its permanence i love the nostalgic feeling of keys under my fingertips,love,love way feel love permanence love nostalgic feeling key fingertip,10
i would feel sometimes still feel a longing and a desire to come closer feel the old oak trees walk the old trails listen to the quiet smell the wild bushes,love,would feel sometimes still feel longing desire come closer feel old oak tree walk old trail listen quiet smell wild bush,21
im sure anyone whos seen someone close go through this process you feel entirely useless in this situation not being able to take away any of the troubles or ailments,sadness,sure anyone who seen someone close process feel entirely useless situation able take away trouble ailment,16
i know that sounds really recycled and generic but its actually how i feel i love to sing and would more than love to make a living doing that but im going to school because i know that its not in the cards for all the talented people in the world to make it in the music business,joy,know sound really recycled generic actually feel love sing would love make living going school know card talented people world make music business,23
i did feel pretty cool when my wifes coworkers showed her the design on pinterest and she said my husband was the designer,joy,feel pretty cool wife coworkers showed design pinterest said husband designer,11
i was tired of feeling helpless and wanted to take control of the situation,sadness,tired feeling helpless wanted take control situation,7
im feeling overwhelmed,surprise,feeling overwhelmed,2
i lost a close friend,sadness,lost close friend,3
i leave feeling challenged and eager to study the word more not looking for the holy spirit to give me another experience or confused not just about what happend but confused about scripture,joy,leave feeling challenged eager study word looking holy spirit give another experience confused happend confused scripture,16
i visited finland a couple of weeks ago and albeit it was wonderful and extremely refreshing to be back in my hometown for the first time in four weeks after spending only a few days there i begun to feel slightly homesick homesick for tallinn,sadness,visited finland couple week ago albeit wonderful extremely refreshing back hometown first time four week spending day begun feel slightly homesick homesick tallinn,23
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,love,feel need pimp since raini beloved rocky casting director love much,11
i promised myself that i wont enter anymore giveaways because i feel greedy but i couldnt resist this one,anger,promised wont enter anymore giveaway feel greedy couldnt resist one,10
im so excited but feeling scared too,fear,excited feeling scared,3
i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,sadness,hate feel devastated much unhealthy habit suppressing feeling,8
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,anger,need hold hug like love really love quiet sit stop something stupid cant parent co know run cant run people feel rude,22
i feel very happy each time i saw him,joy,feel happy time saw,4
i always feel horny nowadays,love,always feel horny nowadays,4
i woke up yesterday morning wondering if i had hurt my mommys feelings and just had this horrible feeling in my stomach and horrible chest pains,sadness,woke yesterday morning wondering hurt mommy feeling horrible feeling stomach horrible chest pain,13
i want him to feel emotional pain,sadness,want feel emotional pain,4
i have trouble not focusing on it not feeling it all throughout the day because i know he s suffering and i know my mom is suffering in a whole other way,sadness,trouble focusing feeling throughout day know suffering know mom suffering whole way,12
im feeling a little apprehensive about it because i feel like im suddenly way too old compared to my mental age of about,fear,feeling little apprehensive feel like suddenly way old compared mental age,11
i feel ugly to my fellow humans,sadness,feel ugly fellow human,4
i feel so utterly humiliated and at the same time humbled by the goodness of her heart,sadness,feel utterly humiliated time humbled goodness heart,7
i also feel devoted to my profession because i get ever so annoyed when i see things that would adversely bring adverse publicity on our profession like some hearnsays from ill informed patients the media and some ignorant politicians making use of health care as a tool to boost their publicity,love,also feel devoted profession get ever annoyed see thing would adversely bring adverse publicity profession like hearnsays ill informed patient medium ignorant politician making use health care tool boost publicity,30
i walked away from the weekend feeling simply dirty like i had done something really harmful and this feeling more than anything is what overpowers my feeble attempts to justify my actions last weekend,sadness,walked away weekend feeling simply dirty like done something really harmful feeling anything overpowers feeble attempt justify action last weekend,20
i baht into usd and feeling very satisfied with how little i spent,joy,baht usd feeling satisfied little spent,6
im feeling really good about it,joy,feeling really good,3
i have never made the first step because the guys were alway faster this is why this situation is making me feel very unsure and elusively shy,fear,never made first step guy alway faster situation making feel unsure elusively shy,13
i feel like i m not really sure where everything is leading and i d look like a boob if i misrepresent things,joy,feel like really sure everything leading look like boob misrepresent thing,11
i was thrilled to have that outcome but because i was feeling so crappy i couldn t even celebrate that until i started feeling better which mainly seems to have occurred with an increased dosage of my thyroid replacement hormone and supplemental estrogen,sadness,thrilled outcome feeling crappy even celebrate started feeling better mainly seems occurred increased dosage thyroid replacement hormone supplemental estrogen,19
i go i see our flag flying at the turkish schools and i feel very proud,joy,see flag flying turkish school feel proud,7
i am the head of my family i should be looking after them but i feel i am worthless to them i am nothing now,sadness,head family looking feel worthless nothing,6
i feel really optimistic about,joy,feel really optimistic,3
i don t know if they just wanted to lead a race or they were feeling so well so early or what it was,joy,know wanted lead race feeling well early,7
i feel so weird about it,fear,feel weird,2
im feeling homesick for him,sadness,feeling homesick,2
i have succumbed to the dreaded commuter virus and feel altogether a little bit rotten,sadness,succumbed dreaded commuter virus feel altogether little bit rotten,9
i look at his sweet little face crying for his mama just wanting me to hold him and love him and i feel so horribly awful for being frustrated with him,sadness,look sweet little face cry mama wanting hold love feel horribly awful frustrated,13
i do feel sorry for you,sadness,feel sorry,2
i see and feel and who knew i could get so angry in putting a key in the lock i want to punch someone s face every single time i put my key in the lock i know that i must keep on going,anger,see feel knew could get angry putting key lock want punch someone face every single time put key lock know must keep going,23
i am very motivated to learn from the lessons of history because otherwise i feel that we are doomed to repeat the same mistakes,sadness,motivated learn lesson history otherwise feel doomed repeat mistake,9
i didn t give up blogging but i still feel that i want to make my posts more useful to my readers,joy,give blogging still feel want make post useful reader,9
i feel very shocked i have never expected that would happen to me,surprise,feel shocked never expected would happen,6
i feel a bit reluctant to write this,fear,feel bit reluctant write,4
i feel like an ungrateful ingrate bastard to confess that i momentarily lost my appreciation for the life i have,sadness,feel like ungrateful ingrate bastard confess momentarily lost appreciation life,10
i get nothing and i really want to feel like if someone likes me for who i am not for my stubborn sister,anger,get nothing really want feel like someone like stubborn sister,10
i dont recall just now yet vividly recall looking at you as you said it and you i think looking back at me and my feeling very sympathetic or maybe empathetic is the better word of course you needed a space,love,dont recall yet vividly recall looking said think looking back feeling sympathetic maybe empathetic better word course needed space,19
i already feel the atmosphere around it seems dangerous,anger,already feel atmosphere around seems dangerous,6
i feel after seeing sweeney todd disturbed and disgusted are better descriptions,sadness,feel seeing sweeney todd disturbed disgusted better description,8
i feel a little suspicious,fear,feel little suspicious,3
i want to say in front of you but embarrassed feeling is comes and my mouth be dumb cannot say that im very love you i know you dont like me because in front your eye im not pretty like what you think in your mind but thats not a reason why you dont love me right,sadness,want say front embarrassed feeling come mouth dumb say love know dont like front eye pretty like think mind thats reason dont love right,24
i never cease to feel amused when with a single facial expression i have the power of modifying a students behavior,joy,never cease feel amused single facial expression power modifying student behavior,11
im having my biannual mammogram and although i know it only hurts for a while im feeling unusually apprehensive,fear,biannual mammogram although know hurt feeling unusually apprehensive,8
i would feel even more clever had i actually intended to do that,joy,would feel even clever actually intended,6
i know how they feel about it all and they talk like the ppl above them on the ladder are so vain amp shallow amp bla bla bla,sadness,know feel talk like ppl ladder vain amp shallow amp bla bla bla,13
i would hate to feel unwelcome,sadness,would hate feel unwelcome,4
i feel your gentle stare and feel your love,love,feel gentle stare feel love,5
i hate how helpless they make me feel so i get stubborn i stop taking them and im fine until im not but by then im so stubborn i cant make myself start up again until i have a really bad episode and scare myself into taking them and then the cycle starts back all over again,anger,hate helpless make feel get stubborn stop taking fine stubborn cant make start really bad episode scare taking cycle start back,21
i feel more calm and comfortable by wearing those neutral color,joy,feel calm comfortable wearing neutral color,6
im feeling generous today heres the link,joy,feeling generous today here link,5
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,anger,feel vaguely frustrated extent thought cycling invade space mind,9
i am feeling a bit overwhelmed tired anxious etc,surprise,feeling bit overwhelmed tired anxious etc,6
i wish i could be there for all the people who i feel i should be there for and supporting in these times,love,wish could people feel supporting time,6
i feel tranquil and content,joy,feel tranquil content,3
i fell asleep feeling contented and was ultimately driven back to my room,joy,fell asleep feeling contented ultimately driven back room,8
i know i totes feel like a valued and equal person to my coworkers while theyre laughing over shutting women up,joy,know tote feel like valued equal person coworkers theyre laughing shutting woman,12
i recall feeling so welcomed that we returned to woodstock a few months later for a white thanksgiving,joy,recall feeling welcomed returned woodstock month later white thanksgiving,9
